,hotel_Name,price,Rate,distant,discount
0,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
1,Violet Al Shisha Hotel,SAR 290SAR 119,"8.3Very good5,844 reviews",2.8 km from centre,SAR 290SAR 119
2,Makkah Towers,SAR 342SAR 325,"8.0Very good6,425 reviews",0.3 km from centre,SAR 342SAR 325
3,"Makkah Clock Royal Tower, A Fairmont Hotel",SAR 441,"8.2Very good20,064 reviews",0.3 km from centre,SAR 441
4,Jabal Omar Hyatt Regency Makkah,SAR 400,"8.4Very good20,014 reviews",0.5 km from centre,SAR 400
5,Makarem Ajyad Makkah Hotel,SAR 375SAR 356,"8.2Very good3,680 reviews",0.6 km from centre,SAR 375SAR 356
6,Jabal Omar Marriott Hotel Makkah,SAR 290,"7.8Good2,992 reviews",0.8 km from centre,SAR 290
7,Elaf Kinda Hotel,SAR 315SAR 299,"7.9Good6,590 reviews",0.5 km from centre,SAR 315SAR 299
8,Pullman ZamZam Makkah,SAR 342,"7.2Good23,188 reviews",0.3 km from centre,SAR 342
9,Hilton Suites Makkah,SAR 520,"8.7Fabulous7,803 reviews",0.5 km from centre,SAR 520
10,Movenpick Makkah Hajar Tower,SAR 342,"8.1Very good9,730 reviews",0.3 km from centre,SAR 342
11,Conrad Makkah,SAR 560,"8.8Fabulous7,625 reviews",0.6 km from centre,SAR 560
12,Sheraton Makkah Jabal Al Kaaba Hotel,SAR 230,"7.7Good1,732 reviews",0.8 km from centre,SAR 230
13,Swissotel Al Maqam Makkah,SAR 369,"8.2Very good22,165 reviews",0.3 km from centre,SAR 369
14,Hilton Makkah Convention Hotel,SAR 320,"8.3Very good6,894 reviews",0.6 km from centre,SAR 320
15,Retaj Al Bayt Suites,SAR 828SAR 414,"7.7Good3,603 reviews",0.3 km from centre,SAR 828SAR 414
16,Anjum Makkah Hotel,SAR 281,"8.2Very good4,615 reviews",0.7 km from centre,SAR 281
17,Makkah Hotel,SAR 460SAR 437,"8.7Fabulous4,295 reviews",0.3 km from centre,SAR 460SAR 437
18,Al Ghufran Safwah Hotel Makkah,SAR 583SAR 333,"8.8Fabulous7,524 reviews",0.3 km from centre,SAR 583SAR 333
19,Doubletree By Hilton Makkah Jabal Omar,SAR 280,"8.6Fabulous1,450 reviews",0.8 km from centre,SAR 280
20,Al Marwa Rayhaan by Rotana - Makkah,SAR 352SAR 334,"7.6Good8,087 reviews",0.3 km from centre,SAR 352SAR 334
21,Le Meridien Towers Makkah,SAR 130,"7.5Good4,131 reviews",2.2 km from centre,SAR 130
22,فندق سنود الريان,SAR 200SAR 114,"7.8Good2,272 reviews",1.5 km from centre,SAR 200SAR 114
23,Holiday Suites Al Aziziah,SAR 150SAR 143,"8.0Very good11,711 reviews",3.6 km from centre,SAR 150SAR 143
24,Park Inn by Radisson Makkah Aziziyah,SAR 135,"8.0Very good6,845 reviews",6 km from centre,SAR 135
25,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
26,Makarem Umm Al Qura Hotel,SAR 175,"7.7Good6,570 reviews",2.2 km from centre,SAR 175
27,Four Points by Sheraton Makkah Al Naseem,SAR 135,"8.5Very good13,391 reviews",6.8 km from centre,SAR 135
28,Olayan Diamond Hotel - Al Maabda,SAR 110,"8.5Very good1,524 reviews",2.5 km from centre,SAR 110
29,Millennium Makkah Al Naseem,SAR 162SAR 154,"8.2Very good5,957 reviews",6.6 km from centre,SAR 162SAR 154
30,Amjad Al Deafah Hotel,SAR 129SAR 122,"7.7Good1,740 reviews",1.4 km from centre,SAR 129SAR 122
31,M Hotel Makkah by Millennium,SAR 125,"7.7Good5,389 reviews",2.7 km from centre,SAR 125
32,Al Safwah Royale Orchid Hotel,SAR 499SAR 399,"7.3Good4,503 reviews",0.3 km from centre,SAR 499SAR 399
33,Al Kiswah Towers Hotel,SAR 132SAR 99,"8.2Very good5,998 reviews",1.5 km from centre,SAR 132SAR 99
34,Tera Sedky Hotel,SAR 109SAR 48,"5.6Review score1,581 reviews",4 km from centre,SAR 109SAR 48
35,Nada Al Deafah Hotel,SAR 246SAR 175,6.4Review score957 reviews,0.4 km from centre,SAR 246SAR 175
36,Borj Al Deafah Hotel,SAR 130SAR 123,7.3Good701 reviews,1.4 km from centre,SAR 130SAR 123
37,Lamar Ajyad Hotel,SAR 200SAR 130,"7.8Good2,713 reviews",2.5 km from centre,SAR 200SAR 130
38,Elaf Al Mashaer Hotel Makkah,SAR 200SAR 190,"7.6Good4,482 reviews",0.7 km from centre,SAR 200SAR 190
39,Shaza Makkah,SAR 260,"8.2Very good11,341 reviews",0.8 km from centre,SAR 260
40,Raffles Makkah Palace,SAR 828,"8.9Fabulous4,996 reviews",0.3 km from centre,SAR 828
41,Al Riffa Al Sadd Hotel,SAR 170SAR 128,8.0Very good33 reviews,0.9 km from centre,SAR 170SAR 128
42,Park Inn by Radisson Makkah Al Naseem,SAR 144,"7.9Good10,499 reviews",6.5 km from centre,SAR 144
43,Manarat Al Misk Hotel,SAR 100,6.9Review score593 reviews,0.9 km from centre,SAR 100
44,Yasmin Al Majd,SAR 105SAR 100,8.6Fabulous567 reviews,1.2 km from centre,SAR 105SAR 100
45,Al Waleed Tower Hotel,SAR 118,"8.2Very good2,735 reviews",5 km from centre,SAR 118
46,Snood Al salam,SAR 140SAR 84,"7.7Good2,133 reviews",3.3 km from centre,SAR 140SAR 84
47,"Dar Al Tawhid Intercontinental Makkah, an IHG Hotel",SAR 780,"8.7Fabulous5,477 reviews",0.4 km from centre,SAR 780
48,Nawazi Al Tawsea,SAR 116SAR 75,5.6Review score509 reviews,0.8 km from centre,SAR 116SAR 75
49,فندق سرايا السيف,SAR 122,8.0Very good964 reviews,2.5 km from centre,SAR 122
50,Al Shohada Hotel,SAR 300,"8.2Very good1,142 reviews",0.9 km from centre,SAR 300
51,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
52,Alraqi Plaza Hotel,SAR 49,"7.4Good1,080 reviews",1.3 km from centre,SAR 49
53,Al Fajr Al Badiea 2 Hotel,SAR 220,6.6Review score58 reviews,0.7 km from centre,SAR 220
54,Swissotel Makkah,SAR 360,"8.1Very good11,785 reviews",0.5 km from centre,SAR 360
55,Anwar Al Deafah Hotel,SAR 246SAR 175,6.4Review score568 reviews,0.5 km from centre,SAR 246SAR 175
56,Afraa Hotel,SAR 340SAR 167,"8.0Very good2,434 reviews",4.6 km from centre,SAR 340SAR 167
57,Snood Al Azama Hotel,SAR 140SAR 84,"7.3Good2,830 reviews",5.5 km from centre,SAR 140SAR 84
58,Sadan Plaza,SAR 118,7.1Good492 reviews,1.5 km from centre,SAR 118
59,Batoul Ajyad Hotel,SAR 165SAR 110,"7.6Good2,449 reviews",1.7 km from centre,SAR 165SAR 110
60,Arkan Bakkah Hotel,SAR 102,"7.6Good1,100 reviews",2.5 km from centre,SAR 102
61,فندق دانة التاج DANA ALTAJ HOTEL,SAR 240SAR 192,6.2Review score790 reviews,0.5 km from centre,SAR 240SAR 192
62,Midan Hotel,SAR 157,"8.6Fabulous3,884 reviews",3 km from centre,SAR 157
63,Violet Al Azizia Hotel,SAR 160,"8.5Very good7,463 reviews",2.9 km from centre,SAR 160
64,فندق جواد التاج Jawad Al-Taj Hotel,SAR 240SAR 192,6.0Review score674 reviews,0.4 km from centre,SAR 240SAR 192
65,Al Massa Hotel Makkah,SAR 450SAR 405,"6.3Review score1,501 reviews",0.3 km from centre,SAR 450SAR 405
66,منازل الياسر,SAR 38,5.7Review score451 reviews,6.1 km from centre,SAR 38
67,M Hotel Al Dana Makkah by Millennium,SAR 123,"8.5Very good2,118 reviews",3.2 km from centre,SAR 123
68,Amjad Al Jazeera Hotel,SAR 157,6.6Review score77 reviews,0.7 km from centre,SAR 157
69,Lamar Ajyad Hotel 2 - Tower B,SAR 200SAR 126,"7.8Good2,615 reviews",2.4 km from centre,SAR 200SAR 126
70,Reefaf Al Mashaer Hotel,SAR 152,"8.7Fabulous1,200 reviews",5.3 km from centre,SAR 152
71,فندق رحاب المحبة,SAR 100,6.6Review score17 reviews,3.3 km from centre,SAR 100
72,Rawabi Emirates Hotel,SAR 94,7.7Good346 reviews,2 km from centre,SAR 94
73,فندق ٢١ Hotel 21,SAR 130SAR 103,8.5Very good427 reviews,5.8 km from centre,SAR 130SAR 103
74,فندق قمة الوعد,SAR 110,3.2Review score11 reviews,1 km from centre,SAR 110
75,Wahat Al Refaa Hotel,SAR 240SAR 120,7.8Good473 reviews,4.6 km from centre,SAR 240SAR 120
76,فندق الضيافة بلازا,SAR 100,6.6Review score10 reviews,1.5 km from centre,SAR 100
77,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
78,Al Bayraq Hotel,SAR 121,"7.7Good5,059 reviews",4 km from centre,SAR 121
79,فندق بلورة المزن,SAR 135,"7.7Good5,059 reviews",1 km from centre,SAR 135
80,Dar Bab Al slam Aparthotel,SAR 75,"7.7Good5,059 reviews",1.3 km from centre,SAR 75
81,Reefaf Al Hayat Hotel,SAR 124SAR 117,"7.7Good5,059 reviews",5.3 km from centre,SAR 124SAR 117
82,فندق الروضة المكية Alrawda Almakyah Hotel,SAR 135,"7.7Good5,059 reviews",2.4 km from centre,SAR 135
83,فندق أعيان البركة,SAR 90,"7.7Good5,059 reviews",3.4 km from centre,SAR 90
84,منازل الخير,SAR 41,"7.7Good5,059 reviews",4.3 km from centre,SAR 41
85,Blue Coral Hotel,SAR 145SAR 137,"7.7Good5,059 reviews",3.6 km from centre,SAR 145SAR 137
86,فندق نجمة الأصيل,SAR 80,"7.7Good5,059 reviews",5.4 km from centre,SAR 80
87,ALolayan Plaza Hotel فندق العليان بلازا,SAR 86,"7.7Good5,059 reviews",4.1 km from centre,SAR 86
88,فندق أعيان المعابدة,SAR 85,"7.7Good5,059 reviews",2.4 km from centre,SAR 85
89,Al Fajr Al Badea Hotel 3,SAR 125,"7.7Good5,059 reviews",1 km from centre,SAR 125
90,Reefaf Alaziziah Hotel,SAR 135,"7.7Good5,059 reviews",5.3 km from centre,SAR 135
91,Hayaa Hotel,SAR 100,"7.7Good5,059 reviews",4.2 km from centre,SAR 100
92,Jawharah Diyar Matar Hotel (2),SAR 99,"7.7Good5,059 reviews",1.4 km from centre,SAR 99
93,Beyab Al-Azizeyya,SAR 105,"7.7Good5,059 reviews",6.1 km from centre,SAR 105
94,فندق عروق الذهب المكية 1,SAR 87,"7.7Good5,059 reviews",3 km from centre,SAR 87
95,Jiwar Albyt Hotel,SAR 89,"7.7Good5,059 reviews",3.9 km from centre,SAR 89
96,Asfar Al-waha,SAR 95,"7.7Good5,059 reviews",4.5 km from centre,SAR 95
97,Albalad Altayib Ajyad Hotel,SAR 150,"7.7Good5,059 reviews",0.9 km from centre,SAR 150
98,المناسك الذهبية,SAR 279,"7.7Good5,059 reviews",6.2 km from centre,SAR 279
99,Shouel Inn Furnished Apartments,SAR 76,"7.7Good5,059 reviews",5.9 km from centre,SAR 76
100,OYO 167 Dar Al Raies Hotel,SAR 148SAR 72,"7.7Good5,059 reviews",3.7 km from centre,SAR 148SAR 72
101,فندق المختارون بلازا,SAR 60,"7.7Good5,059 reviews",3 km from centre,SAR 60
102,Al Bostan Al Masi Hotel,SAR 103SAR 97,"7.7Good5,059 reviews",1.4 km from centre,SAR 103SAR 97
103,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
104,Rahaf Al Mashaer Hotel,SAR 140,"7.7Good5,059 reviews",4 km from centre,SAR 140
105,Farah Hotel,SAR 105,"7.7Good5,059 reviews",3.6 km from centre,SAR 105
106,Qimmah Hijaziah Hotel,SAR 110,"7.7Good5,059 reviews",3.4 km from centre,SAR 110
107,Jawharet Al Yassir Hotel,SAR 80,"7.7Good5,059 reviews",5.1 km from centre,SAR 80
108,Reef Global Hotel,SAR 120,"7.7Good5,059 reviews",4.3 km from centre,SAR 120
109,فندق البركة المكية,SAR 60,"7.7Good5,059 reviews",4 km from centre,SAR 60
110,Rabwat Al Safwa hotel فندق ربوة الصفوة,SAR 100,"7.7Good5,059 reviews",3.4 km from centre,SAR 100
111,فندق ماسة الوادي مكه,SAR 126,"7.7Good5,059 reviews",3.8 km from centre,SAR 126
112,Kol Alayam Hotel,SAR 350,"7.7Good5,059 reviews",14.7 km from centre,SAR 350
113,فندق مساكن الحجاز الذهبية,SAR 95,"7.7Good5,059 reviews",7.7 km from centre,SAR 95
114,Taleiat Al Rawah Hotel فندق طليعة الروعة,SAR 70,"7.7Good5,059 reviews",1.6 km from centre,SAR 70
115,مروية المعابدة,SAR 80,"7.7Good5,059 reviews",3.6 km from centre,SAR 80
116,Areej Hotel,SAR 62,"7.7Good5,059 reviews",6.3 km from centre,SAR 62
117,فندق أعيان الششة,SAR 82,"7.7Good5,059 reviews",3 km from centre,SAR 82
118,Wirgan Hotel Al Azizyah,SAR 160,"7.7Good5,059 reviews",5.4 km from centre,SAR 160
119,عبدالهادي للوحدات السكنية,SAR 200,"7.7Good5,059 reviews",4.9 km from centre,SAR 200
120,Burj Marweat Alkhalil,SAR 75,"7.7Good5,059 reviews",4 km from centre,SAR 75
121,فندق باب الحرم,SAR 60,"7.7Good5,059 reviews",3.8 km from centre,SAR 60
122,Reef Global Hotel -Al Maabda,SAR 76,"7.7Good5,059 reviews",2.6 km from centre,SAR 76
123,Snaf Inn ِAzizia Hotel,SAR 100,"7.7Good5,059 reviews",4.3 km from centre,SAR 100
124,شالية فاخر بمسبح خاص بمكة المكرمة,SAR 600,"7.7Good5,059 reviews",7.5 km from centre,SAR 600
125,فندق روز النزهه,SAR 171,"7.7Good5,059 reviews",3.5 km from centre,SAR 171
126,فندق روشان الدار,"SAR 1,200","7.7Good5,059 reviews",4 km from centre,"SAR 1,200"
127,Al Kenana Hotel,SAR 80,"7.7Good5,059 reviews",4 km from centre,SAR 80
128,برج امجاد منى,SAR 49,"7.7Good5,059 reviews",5.1 km from centre,SAR 49
129,Le Meridien Makkah,SAR 468,"7.7Good5,059 reviews",0.4 km from centre,SAR 468
130,لحظة الاحلام للشقق الفندقية,SAR 230,"7.7Good5,059 reviews",19.2 km from centre,SAR 230
131,فندق الاشواق,SAR 140,"7.7Good5,059 reviews",13.1 km from centre,SAR 140
132,الحساني للوحدات السكنية,SAR 160SAR 152,"7.7Good5,059 reviews",13.1 km from centre,SAR 160SAR 152
133,Al Thill Hotel,SAR 120,"7.7Good5,059 reviews",3.3 km from centre,SAR 120
134,سنود الدانه,SAR 90,"7.7Good5,059 reviews",6.4 km from centre,SAR 90
135,Al Azhar Palace Hotel,SAR 160,"7.7Good5,059 reviews",3.6 km from centre,SAR 160
136,Nour Al-Safwah 3 Hotel,SAR 120,"7.7Good5,059 reviews",5.1 km from centre,SAR 120
137,فندق برج الجوهرة,SAR 120,"7.7Good5,059 reviews",2.6 km from centre,SAR 120
138,Romance Chalet,"SAR 1,020SAR 816","7.7Good5,059 reviews",5.9 km from centre,"SAR 1,020SAR 816"
139,Zamazem Meral Hotel,SAR 90,"7.7Good5,059 reviews",6.4 km from centre,SAR 90
140,Royal Al Mashaaer Hotel,SAR 110,"7.7Good5,059 reviews",6.3 km from centre,SAR 110
141,جوهرة الاهدل,SAR 90,"7.7Good5,059 reviews",4.4 km from centre,SAR 90
142,Nice Suites & Hotels,SAR 256,"7.7Good5,059 reviews",2.4 km from centre,SAR 256
143,سدير كرم,SAR 250,"7.7Good5,059 reviews",5.7 km from centre,SAR 250
144,المنزل,"SAR 1,000","7.7Good5,059 reviews",21.1 km from centre,"SAR 1,000"
145,رواحل الهدى فجر البديع 1 سابقًا,SAR 240,"7.7Good5,059 reviews",1.1 km from centre,SAR 240
